F16.5;TBL  MENT  DUS A HALLUC    TBL  PSYCHOT 
F16.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX HALLUC
F16.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX HALLUC
F16.52;TBL PSYCHOT +HALLUCINATIONS DÛ AUX HALLUC
F16.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX HALLUC
F16.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX HALLUC
F16.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX HALLUC
F16.56;TBL PSYCHOT MIXTE DÛ AUX HALLUC
F16.6;TBL  MENT  DUS A HALLUC    SYND  AMNESIQUE
F16.7;TBL  MENT  DUS A HALLUC    TBL  RESIDUEL OU PSYCHOT 
F16.70;FLASHBACKS DUS AUX HALLUC
F16.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ AUX HALLUC
F16.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ AUX HALLUC
F16.73;DÉMENCE DUE AUX HALLUC
F16.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ AUX HALLUC
F16.75;TBL PSYCHOT À DÉBUT TARDIF DÛ AUX HALLUC
F16.8;TBL  MENT  NCA  DUS A HALLUC 
F16.9;TBL  MENT  SAI  DUS A HALLUC 
F17.3;TBL  MENT  DUS A TABAC   SYND  DE SEVRAGE
F17.30;SYND SEVRAGE TABAC SANS COMPLIC
F17.31;SYND SEVRAGE TABAC +CONVULSIONS
F17.4;TBL  MENT  DUS A TABAC   SYND  DE SEVR  + DELIRIUM
F17.40;SYND SEVRAGE TABAC +DÉLIRIUM SANS CONVULSION
F17.41;SYND SEVRAGE TABAC +DÉLIRIUM +CONVULSIONS
F17.5;TBL  MENT  DUS A TABAC   TBL  PSYCHOT 
F17.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ AU TABAC
F17.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ AU TABAC
F17.52;TBL PSYCHOT +HALLUCINATIONS DÛ AU TABAC
F17.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ AU TABAC
F17.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AU TABAC
F17.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ AU TABAC
F17.56;TBL PSYCHOT MIXTE DÛ AU TABAC
F17.6;TBL  MENT  DUS A TABAC   SYND  AMNESIQUE
F17.7;TBL  MENT  DUS A TABAC   TBL  RESIDUEL OU PSYCHOT 
F17.70;FLASHBACKS DUS AU TABAC
F17.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ AU TABAC
F17.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ AU TABAC
F17.73;DÉMENCE DUE AU TABAC
F17.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ AU TABAC
F17.75;TBL PSYCHOT À DÉBUT TARDIF DÛ AU TABAC
F17.8;TBL  MENT  NCA  DUS A TABAC
F17.9;TBL  MENT  SAI  DUS A TABAC
F18.3;TBL  MENT  DUS A SOLVANTS VOLATILS   SYND  DE SEVRAGE
F18.30;SYND SEVRAGE DES SOLVANTS SANS COMPLIC
F18.31;SYND SEVRAGE DES SOLVANTS +CONVULSIONS
F18.4;TBL  MENT  DUS A SOLVANTS VOLATILS   SYND  DE SEVR  + DELIRIUM
F18.40;SYND SEVRAGE DES SOLVANTS +DÉLIRIUM SANS CONVULSION
F18.41;SYND SEVRAGE DES SOLVANTS +DÉLIRIUM +CONVULSIONS
F18.5;TBL  MENT  DUS A SOLVANTS VOLATILS   TBL  PSYCHOT 
F18.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ AUX SOLVANTS
F18.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ AUX SOLVANTS
F18.52;TBL PSYCHOT +HALLUCINATIONS DÛ AUX SOLVANTS
F18.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ AUX SOLVANTS
F18.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ AUX SOLVANTS
F18.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ AUX SOLVANTS
F18.56;TBL PSYCHOT MIXTE DÛ AUX SOLVANTS
F18.6;TBL  MENT  DUS A SOLVANTS VOLATILS   SYND  AMNESIQUE
F18.7;TBL  MENT  DUS A SOLVANTS VOLATILS   TBL  RESIDUEL OU PSYCHOT 
F18.70;FLASHBACKS DUS AUX SOLVANTS
F18.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ AUX SOLVANTS
F18.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ AUX SOLVANTS
F18.73;DÉMENCE DUE AUX SOLVANTS
F18.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ AUX SOLVANTS
F18.75;TBL PSYCHOT À DÉBUT TARDIF DÛ AUX SOLVANTS
F18.8;TBL  MENT  NCA  DUS A SOLVANTS VOLATILS
F18.9;TBL  MENT  SAI  DUS A SOLVANTS VOLATILS
F19.3;TBL  MENT  DUS A DROGUES MULT  OU NCA    SYND  DE SEVRAGE
F19.30;SYND SEVRAGE DROGUES MULT +NCA SANS COMPLIC
F19.31;SYND SEVRAGE DROGUES MULT +NCA +CONVULSIONS
F19.4;TBL  MENT  DUS A DROGUES MULT  OU NCA    SYND  DE SEVR  + DELIRIUM
F19.40;SYND SEVRAGE DROGUES MULT +NCA +DÉLIRIUM SANS CONVULSION
F19.41;SYND SEVRAGE DROGUES MULT +NCA +DÉLIRIUM +CONVULSIONS
F19.5;TBL  MENT  DUS A DROGUES MULT  OU NCA    TBL  PSYCHOT 
F19.50;TBL PSYCHOT ALLURE SCHIZOPHR DÛ DROGUES MULT +NCA
F19.51;TBL PSYCHOT +IDÉES DÉLIRES DÛ DROGUES MULT +NCA
F19.52;TBL PSYCHOT +HALLUCINATIONS DÛ DROGUES MULT +NCA
F19.53;TBL PSYCHOT +SYMPT POLYMORPHES DÛ DROGUES MULT +NCA
F19.54;TBL PSYCHOT +SYMPT DÉPRESSIFS DÛ DROGUES MULT +NCA
F19.55;TBL PSYCHOT +SYMPT MANIAQUES DÛ DROGUES MULT +NCA
F19.56;TBL PSYCHOT MIXTE DÛ DROGUES MULT +NCA
F19.6;TBL  MENT  DUS A DROGUES MULT  OU NCA    SYND  AMNESIQUE
F19.7;TBL  MENT  DUS A DROGUES MULT  OU NCA    TBL  RESIDUEL OU PSYCHOT 
F19.70;FLASHBACKS DUS DROGUES MULT +NCA
F19.71;TBL PERSO COMPORT RÉSIDUEL TARDIF DÛ À DROGUES MULT +NCA
F19.72;TBL THYMIQUE RÉSIDUEL TARDIF DÛ À DROGUES MULT +NCA
F19.73;DÉMENCE DUE À DROGUES MULT +NCA
F19.74;AUTRE DÉFIC COGNITIF PERSISTANT TARDIF DÛ À DROGUES MULT +NCA
F19.75;TBL PSYCHOT À DÉBUT TARDIF DÛ À DROGUES MULT +NCA
F19.8;TBL  MENT  NCA  DUS A DROGUES MULT  OU NCA
F19.9;TBL  MENT  SAI  DUS A DROGUES MULT  OU NCA 
P96.1;SYMPTÔMES SEVRAGE NOUVEAU NÉ DUS À TOXICOMANIE MÈRE
P96.2;SYMPTÔMES SEVRAGE APRÈS USAGE THÉRAPEUTIQUE MÉDICAMENTS CHEZ NOUVEAU NÉ
