"",,Liste,Liste,
A44.0,4,726,-,BARTONELLOSE GENERALISEE
A44.1,2,460,-,BARTONELLOSE CUTANEE ET CUTANEO-MUQ.
A44.8,2,726,-,"BARTONELLOSE, NCA"
A44.9,2,460,-,"BARTONELLOSE, SAI"
A46,3,400,25,ERYSIPELE
A39.1,2,165,-,SYND. DE WATERHOUSE-FRIDERICHSEN
A39.2,2,327,-,MENINGOCOCCEMIE AIG.
A39.3,2,327,-,MENINGOCOCCEMIE CHRON.
A39.4,2,327,-,"MENINGOCOCCEMIE, SAI"
A39.5,2,327,-,CARDITE A MENINGO.
A39.8,2,614,-,"INFECT. A MENINGO., NCA"
A39.9,2,929,-,"INFECT. A MENINGO., SAI"
A40.0,4,532,-,"SEPSIS A STREPTO., GROUPE A"
A40.1,4,532,-,"SEPSIS A STREPTO., GROUPE B"
A40.2,4,532,-,"SEPSIS À STREPTOCOQUES, GROUPE D ET ENTÉROCOQUES"
A40.3,4,532,-,SEPSIS A STREPTOCOCCUS PNEUMONIAE
A40.8,4,532,-,"SEPSIS A STREPTO., NCA"
A40.9,4,532,-,"SEPSIS A STREPTO., SAI"
A41.0,4,943,-,SEPSIS A STAPHYLO. DORES
A41.1,4,943,-,SEPSIS A D'AUTRES STAPHYLO. PREC.
A41.2,4,943,-,"SEPSIS A STAPHYLO., SAI"
A41.3,3,943,-,SEPSIS A HAEMOPHILUS INFLUENZAE
A41.4,4,515,-,SEPSIS A MICRO-ORG. ANAEROBIES
A41.5,4,515,-,SEPSIS A D'AUTRES MICRO-ORG. GRAM NEGATIF
A41.8,4,515,-,"SEPSIS PREC., NCA"
A41.9,3,465,-,"SEPSIS, SAI"
A42.7,3,628,-,SEPSIS ACTINOMYCOSIQUE
A43.0,3,329,-,NOCARDIOSE PULM.
A43.1,3,460,-,NOCARDIOSE CUTANEE
A43.8,3,726,-,"NOCARDIOSE, NCA"
A43.9,3,176,-,"NOCARDIOSE, SAI"
A44.0,4,726,-,BARTONELLOSE GENERALISEE
A44.1,2,460,-,BARTONELLOSE CUTANEE ET CUTANEO-MUQ.
A44.8,2,726,-,"BARTONELLOSE, NCA"
A44.9,2,460,-,"BARTONELLOSE, SAI"
A46,3,400,25,ERYSIPELE
A48.0,4,439,-,GANGRENE GAZEUSE
CMA,niv,"Listediag","Listeracine",Libellé
A48.1,3,329,-,MAL. DES LEGIONNAIRES PULM. OU SAI
A48.2,3,726,-,"MAL. DES LEGIONNAIRES, SANS SIGNES PULM."
A48.3,4,686,-,SYND. DU CHOC TOXIQUE
A48.4,2,726,-,FIEVRE PURPURIQUE DU BRESIL
A48.8,2,726,-,"MAL. BACT. PREC., NCA"
A49.0,2,539,-,"INFECT. A STAPHYLO., SAI"
A49.1,2,671,-,"INFECTION À STREPTOCOQUES ET ENTÉROCOQUES, SIÈGE NON PRÉCISÉ"
A49.2,2,986,-,"INFECT. A HAEMOPHILUS INFLUENZAE, SAI"
A49.3,2,1036,-,"INFECT. A MYCOPLASMA, SAI"
A49.8,2,591,-,"INFECT. BACT. NCA, SIEGE SAI"
A50.0,2,321,-,"SYPHILIS CONG. PRECOCE, SYMPT."
A50.1,2,321,-,"SYPHILIS CONG. PRECOCE, LATENTE"
A50.2,2,321,-,"SYPHILIS CONG. PRECOCE, SAI"
A50.3,2,957,-,OCULOPATHIE SYPHILITIQUE CONG. TARDIVE
A50.4,2,101,-,SYPHILIS CONG. NERV. TARDIVE
A50.5,2,321,-,"FORMES TARDIVES DE SYPHILIS CONG., SYMPT., NCA"
A50.6,2,321,-,"SYPHILIS CONG. TARDIVE, LATENTE"
A50.7,2,290,-,"SYPHILIS CONG. TARDIVE, SAI"
A50.9,2,290,-,"SYPHILIS CONG., SAI"
A51.0,2,146,-,SYPHILIS GENITALE IRE.
A51.1,2,954,-,SYPHILIS ANALE IRE.
A51.2,2,321,-,SYPHILIS IRE. D'AUTRES LOC.
A51.3,2,906,-,SYPHILIS IIRE. DE LA PEAU ET DES MUQ.
A51.4,2,321,-,"SYPHILIS IIRE., NCA"
A51.5,2,321,-,"SYPHILIS PRECOCE, LATENTE"
A51.9,2,878,-,"SYPHILIS PRECOCE, SAI"
A52.0,2,629,-,SYPHILIS CARDIO-VASC.
A52.1,2,746,-,SYPHILIS NERV. SYMPT.
A52.2,2,888,-,SYPHILIS NERV. ASYMPT.
A52.3,2,746,-,"SYPHILIS NERV., SAI"
A52.7,2,629,-,"FORMES TARDIVES DE SYPHILIS SYMPT., NCA"
A52.8,2,629,-,"SYPHILIS TARDIVE, LATENTE"
A52.9,2,746,-,"SYPHILIS TARDIVE, SAI"
A53.0,2,205,-,SYPHILIS LATENTE
A53.9,2,205,-,"SYPHILIS, SAI"
