CMD;Liste;Libellé liste;Code;Libellé code
01;D-0107;Autres tumeurs du système nerveux;D43.2;Tumeur à évolution imprévisible ou inconnue de l encéphale  sans précision
01;D-0107;Autres tumeurs du système nerveux;D43.3;Tumeur à évolution imprévisible ou inconnue des nerfs crâniens
01;D-0107;Autres tumeurs du système nerveux;D43.4;Tumeur à évolution imprévisible ou inconnue de la moelle épinière
01;D-0107;Autres tumeurs du système nerveux;D43.7;Tumeur à évolution imprévisible ou inconnue d autres parties du système nerveux central
01;D-0107;Autres tumeurs du système nerveux;D43.9;Tumeur à évolution imprévisible ou inconnue du système nerveux (central)  sans précision
01;D-0107;Autres tumeurs du système nerveux;D44.40;Craniopharyngiome
01;D-0107;Autres tumeurs du système nerveux;D44.5;Tumeur à évolution imprévisible ou inconnue de l épiphyse
01;D-0107;Autres tumeurs du système nerveux;D44.7;Tumeur à évolution imprévisible ou inconnue du glomus aortique et autres paraganglions
01;D-0107;Autres tumeurs du système nerveux;D48.2;Tumeur à évolution imprévisible et inconnue des nerfs périphériques et du système nerveux autonome
01;D-0108;Maladies dégénératives du système nerveux;A52.1;Syphilis nerveuse symptomatique
01;D-0108;Maladies dégénératives du système nerveux;A52.3;Syphilis nerveuse  sans précision
01;D-0108;Maladies dégénératives du système nerveux;A81.0;Maladie de Creutzfeldt Jakob
01;D-0108;Maladies dégénératives du système nerveux;A81.1;Panencéphalite sclérosante subaiguë
01;D-0108;Maladies dégénératives du système nerveux;A81.2;Leucoencéphalopathie multifocale (progressive)
01;D-0108;Maladies dégénératives du système nerveux;A81.8;Autres infections atypiques à virus  du système nerveux central
01;D-0108;Maladies dégénératives du système nerveux;A81.9;Infection atypique à virus  du système nerveux central  sans précision
01;D-0108;Maladies dégénératives du système nerveux;E75.0;Gangliosidose GM2
01;D-0108;Maladies dégénératives du système nerveux;E75.1;Autres gangliosidoses
01;D-0108;Maladies dégénératives du système nerveux;E75.2;Autres sphingolipidoses
01;D-0108;Maladies dégénératives du système nerveux;E75.3;Sphingolipidose  sans précision
01;D-0108;Maladies dégénératives du système nerveux;E75.4;Lipofuscinose à céroïdes neuronaux
01;D-0108;Maladies dégénératives du système nerveux;G10;Chorée de Huntington
01;D-0108;Maladies dégénératives du système nerveux;G12.0;Amyotrophie spinale infantile  type I [Werdnig Hoffman]
01;D-0108;Maladies dégénératives du système nerveux;G12.1;Autres amyotrophies spinales héréditaires
01;D-0108;Maladies dégénératives du système nerveux;G12.2;Maladies du neurone moteur
01;D-0108;Maladies dégénératives du système nerveux;G12.8;Autres amyotrophies spinales et syndromes apparentés
01;D-0108;Maladies dégénératives du système nerveux;G12.9;Amyotrophie spinale  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G13.0;Neuromyopathie et neuropathie paranéoplasiques
01;D-0108;Maladies dégénératives du système nerveux;G13.1;Autres affections dégénératives systémiques affectant principalement le système nerveux central au cours de maladies tumorales
01;D-0108;Maladies dégénératives du système nerveux;G13.2;Affections dégénératives systémiques affectant principalement le système nerveux central au cours d un myxoedème (E00 1  E03  )
01;D-0108;Maladies dégénératives du système nerveux;G13.8;Affections dégénératives systémiques affectant principalement le système nerveux central au cours d autres affections classées ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G20;Maladie de Parkinson
01;D-0108;Maladies dégénératives du système nerveux;G21.0;Syndrome malin des neuroleptiques
01;D-0108;Maladies dégénératives du système nerveux;G21.1;Autres syndromes secondaires parkinsoniens dus à des médicaments
01;D-0108;Maladies dégénératives du système nerveux;G21.2;Syndrome parkinsonien secondaire dû à d autres agents externes
01;D-0108;Maladies dégénératives du système nerveux;G21.3;Syndrome parkinsonien postencéphalitique
01;D-0108;Maladies dégénératives du système nerveux;G21.4;Parkinsonisme d origine vasculaire
01;D-0108;Maladies dégénératives du système nerveux;G21.8;Autres syndromes parkinsoniens secondaires
01;D-0108;Maladies dégénératives du système nerveux;G21.9;Syndrome parkinsonien secondaire  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G22;Syndrome parkinsonien au cours de maladies classées ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G23.0;Maladie de Hallervorden Spatz
01;D-0108;Maladies dégénératives du système nerveux;G23.1;Ophtalmoplégie supranucléaire progressive [maladie de Steele Richardson Olszewski]
01;D-0108;Maladies dégénératives du système nerveux;G23.2;Atrophie multisystématisée de type parkinsonien [AMS P] [MSA P]
01;D-0108;Maladies dégénératives du système nerveux;G23.3;Atrophie multisystématisée de type cérébelleux [AMS C] [MSA C]
01;D-0108;Maladies dégénératives du système nerveux;G23.8;Autres maladies dégénératives précisées des noyaux gris centraux
01;D-0108;Maladies dégénératives du système nerveux;G23.9;Maladie dégénérative des noyaux gris centraux  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G24.0;Dystonie médicamenteuse
01;D-0108;Maladies dégénératives du système nerveux;G24.1;Dystonie idiopathique (familiale)
01;D-0108;Maladies dégénératives du système nerveux;G24.2;Dystonie idiopathique non familiale
01;D-0108;Maladies dégénératives du système nerveux;G24.3;Torticolis spasmodique
01;D-0108;Maladies dégénératives du système nerveux;G24.4;Dystonie bucco faciale idiopathique
01;D-0108;Maladies dégénératives du système nerveux;G24.5;Blépharospasme
01;D-0108;Maladies dégénératives du système nerveux;G25.4;Chorée médicamenteuse
01;D-0108;Maladies dégénératives du système nerveux;G25.5;Autres chorées
01;D-0108;Maladies dégénératives du système nerveux;G25.8;Autres syndromes précisés extrapyramidaux et troubles de la motricité
01;D-0108;Maladies dégénératives du système nerveux;G25.9;Syndrome extrapyramidal et trouble de la motricité  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G26;Syndromes extrapyramidaux et troubles de la motricité au cours d affections classées ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G30.0;Maladie d Alzheimer à début précoce
01;D-0108;Maladies dégénératives du système nerveux;G30.1;Maladie d Alzheimer à début tardif
01;D-0108;Maladies dégénératives du système nerveux;G30.8;Autres formes de la maladie d Alzheimer
01;D-0108;Maladies dégénératives du système nerveux;G30.9;Maladie d Alzheimer  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G31.0;Atrophie cérébrale circonscrite
01;D-0108;Maladies dégénératives du système nerveux;G31.1;Dégénérescence cérébrale sénile  non classée ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G31.2;Dégénérescence du système nerveux liée à l alcool
01;D-0108;Maladies dégénératives du système nerveux;G31.8;Autres affections dégénératives précisées du système nerveux
01;D-0108;Maladies dégénératives du système nerveux;G31.9;Affection dégénérative du système nerveux  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G32.0;Dégénérescence combinée subaiguë de la moelle épinière au cours de maladies classées ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G32.8;Autres affections dégénératives précisées du système nerveux au cours de maladies classées ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G70.0;Myasthénie
01;D-0108;Maladies dégénératives du système nerveux;G70.2;Myasthénie congénitale au cours du développement
01;D-0108;Maladies dégénératives du système nerveux;G70.8;Autres affections neuro musculaires précisées
01;D-0108;Maladies dégénératives du système nerveux;G70.9;Affection neuro musculaire  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G73.0;Syndrome myasthénique au cours de maladies endocriniennes
01;D-0108;Maladies dégénératives du système nerveux;G73.1;Syndrome de Lambert Eaton (C00 D48+)
01;D-0108;Maladies dégénératives du système nerveux;G73.2;Autres syndromes myasthéniques au cours de maladies tumorales (C00 D48)
01;D-0108;Maladies dégénératives du système nerveux;G73.3;Syndrome myasthénique au cours d autres maladies classées ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G81.00;Hémiplégie flasque récente  persistant au delà de 24 heures
01;D-0108;Maladies dégénératives du système nerveux;G81.01;Hémiplégie flasque récente  régressive dans les 24 heures
01;D-0108;Maladies dégénératives du système nerveux;G81.08;Hémiplégie flasque  autre et sans précision
01;D-0108;Maladies dégénératives du système nerveux;G81.1;Hémiplégie spastique
01;D-0108;Maladies dégénératives du système nerveux;G81.9;Hémiplégie  sans précision
01;D-0108;Maladies dégénératives du système nerveux;G94.0;Hydrocéphalie au cours de maladies infectieuses et parasitaires classées ailleurs (A00 B99)
01;D-0108;Maladies dégénératives du système nerveux;G94.1;Hydrocéphalie au cours de maladies tumorales (C00 D48)
01;D-0108;Maladies dégénératives du système nerveux;G94.2;Hydrocéphalie au cours d autres maladies classées ailleurs
01;D-0108;Maladies dégénératives du système nerveux;G95.0;Syringomyélie et syringobulbie
01;D-0108;Maladies dégénératives du système nerveux;I67.3;Leuco encéphalopathie vasculaire progressive
01;D-0109;Hydrocéphalies;G91.0;Hydrocéphalie communicante
01;D-0109;Hydrocéphalies;G91.1;Hydrocéphalie obstructive (non communicante)
01;D-0109;Hydrocéphalies;G91.2;Hydrocéphalie à pression normale
01;D-0109;Hydrocéphalies;G91.3;Hydrocéphalie post traumatique  sans précision
01;D-0109;Hydrocéphalies;G91.8;Autres hydrocéphalies
01;D-0109;Hydrocéphalies;G91.9;Hydrocéphalie  sans précision
01;D-0110;Affections et lésions du rachis et de la moelle;G80.0;Paralysie cérébrale spastique quadriplégique
01;D-0110;Affections et lésions du rachis et de la moelle;G80.1;Paralysie cérébrale spastique diplégique
01;D-0110;Affections et lésions du rachis et de la moelle;G80.2;Paralysie cérébrale spastique hémiplégique
01;D-0110;Affections et lésions du rachis et de la moelle;G80.3;Paralysie cérébrale dyskinétique
01;D-0110;Affections et lésions du rachis et de la moelle;G80.4;Paralysie cérébrale ataxique
01;D-0110;Affections et lésions du rachis et de la moelle;G80.8;Autres paralysies cérébrales
01;D-0110;Affections et lésions du rachis et de la moelle;G80.9;Paralysie cérébrale  sans précision
01;D-0110;Affections et lésions du rachis et de la moelle;G82.0;Paraplégie flasque
01;D-0110;Affections et lésions du rachis et de la moelle;G82.00;Paraplégie flasque  complète motrice
01;D-0110;Affections et lésions du rachis et de la moelle;G82.01;Paraplégie flasque  incomplète motrice
01;D-0110;Affections et lésions du rachis et de la moelle;G82.09;Paraplégie flasque  sans précision
01;D-0110;Affections et lésions du rachis et de la moelle;G82.1;Paraplégie spastique
01;D-0110;Affections et lésions du rachis et de la moelle;G82.10;Paraplégie spastique  complète motrice
01;D-0110;Affections et lésions du rachis et de la moelle;G82.11;Paraplégie spastique  incomplète motrice
01;D-0110;Affections et lésions du rachis et de la moelle;G82.19;Paraplégie spastique  sans précision
01;D-0110;Affections et lésions du rachis et de la moelle;G82.2;Paraplégie  sans précision
